Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
125,-9,YOASOBI - 群青,841,51,,"5,119",+352,"36,224",+814,"3,896,673"
126,+9,Wilfred Lau - 思覺失調,1086,30,,"5,105",+589,"35,202",-44,"4,301,398"
127,-21,IVE - Blue Blood,8,41,,"5,088",+131,"48,408","-2,375","55,871"
128,+1,Kay Tse - 囍帖街,2786,15,,"5,065",+469,"35,212",-473,"12,056,535"
129,+4,Terence Lam - 記得,250,5,,"5,032",+477,"35,610",+224,"3,022,039"
130,+20,Jay Fung - 遠在眼前,172,51,,"5,025",+819,"34,652",+260,"755,876"
131,+18,Edan 呂爵安 - E先生 連環不幸事件,809,1,(x40),"5,012",+805,"35,342",+335,"11,855,136"
132,+6,LISA - MONEY,251,19,,"4,986",+548,"31,538","+1,038","1,443,732"
133,-12,Mayday - 後來的我們,1701,5,,"4,973",+238,"19,070","+4,973","6,780,709"
134,-20,BLACKPINK - How You Like That,900,1,(x42),"4,970",+133,"33,297",+548,"6,557,382"
135,-7,Mayday - 為你寫下這首情歌,11,94,,"4,958",+356,"13,880","+4,958","51,235"
136,-2,Jay Chou - 擱淺,230,92,,"4,957",+415,"34,296",+260,"959,068"
137,=,Hins Cheung - 春秋,2187,16,,"4,950",+500,"35,039",+564,"12,238,213"
138,-14,YOASOBI - 祝福,198,15,,"4,941",+269,"35,148",+796,"1,357,425"
139,-3,Jay Chou - 說好不哭 (w/ Ashin Chen),139,14,,"4,938",+486,"33,046",+683,"669,829"
140,-1,Terence Lam - 下一位前度 in Ab major,523,22,,"4,932",+495,"34,962",-123,"3,914,720"
141,-15,ROSÉ - On The Ground,261,1,(x13),"4,847",+209,"32,710","+1,007","2,077,120"
142,+12,张远 - 嘉宾,274,112,,"4,830",+662,"34,289",+114,"1,140,168"
143,+9,Anson Kong 江𤒹生 - 蝸牛 (w/ 陳卓賢 Ian),728,29,,"4,805",+604,"32,950",+878,"4,804,095"
144,+1,Eason Chan - 富士山下,1220,57,,"4,757",+459,"32,396",+538,"4,472,312"
145,-2,Eason Chan - 盲婚啞嫁,99,13,,"4,721",+388,"34,662",+43,"982,796"
146,+1,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),229,53,,"4,720",+440,"33,172",+458,"1,378,281"
147,-34,Anson Lo 盧瀚霆 - Megahit,572,2,(x2),"4,693",-155,"34,713",-813,"9,386,280"
148,+7,Hins Cheung - 只是太愛你,840,49,,"4,659",+497,"33,073",+213,"3,552,913"
149,+4,MC 張天賦 - Frenemy (w/ Kaho Hung),245,13,,"4,632",+458,"32,961",+662,"2,570,521"
150,-19,LE SSERAFIM - FEARLESS,350,33,,"4,605",+29,"32,922",+545,"1,910,455"
151,+8,Jace Chan - 隔離 - Studio Live Duet (w/ Terence Lam),930,3,(x56),"4,589",+479,"31,860",+255,"9,327,566"
152,-35,"Leslie Cheung - 今生今世(電影""金枝玉葉""歌曲)",90,10,,"4,557",-205,"35,473",-442,"445,475"
153,-2,IVE - Lips,8,49,,"4,544",+338,"41,277","-1,510","47,331"
154,+3,Keung To - 孤獨病,713,12,,"4,506",+388,"32,735",-64,"5,200,202"
155,-7,BLACKPINK - Lovesick Girls,428,1,(x28),"4,460",+223,"25,269",+898,"3,288,675"
156,+2,NewJeans - Cookie,169,78,,"4,412",+299,"31,476",+246,"846,739"
157,-11,The Weeknd - Die For You,149,83,,"4,403",+107,"31,141",+219,"629,304"
158,+36,Gin Lee - 單戀這件小事,4,117,,"4,375",+786,"17,512","+4,375","17,512"
159,+10,Coi Leray - Players,45,158,,"4,372",+480,"28,789",+813,"187,021"
160,=,IVE - ELEVEN,259,26,,"4,363",+260,"20,798","+4,363","1,214,859"
161,+2,BLACKPINK - Hard to Love,171,9,,"4,361",+357,"20,176",+769,"1,044,376"
162,+4,Jeffrey 魏浚笙 - 第一個迷,109,20,,"4,351",+402,"32,006",+223,"884,190"
163,+16,Dear Jane - 人類不宜飛行,608,4,,"4,341",+585,"31,258",+92,"5,587,233"
164,-22,Nicky Youre - Sunroof (w/ dazy),314,55,,"4,327",-17,"30,041",+497,"1,685,401"
165,-9,Gareth.T - 勁浪漫 超溫馨,507,5,,"4,296",+154,"31,441",-92,"5,931,142"
166,+17,Kaho Hung - My Secret Park,63,23,,"4,288",+566,"30,224",+360,"446,826"
167,-6,ROSÉ - Gone,177,2,(x8),"4,276",+208,"24,523",+589,"1,232,193"
168,+9,Terence Siufay - 時光機,2665,42,,"4,270",+504,"29,524",+486,"9,604,895"
169,-5,Meghan Trainor - Made You Look,167,46,,"4,261",+263,"29,671",+431,"1,055,260"
170,+10,Edan 呂爵安 - 小諧星,633,1,(x16),"4,226",+473,"29,837",+323,"8,272,416"
171,+11,Kaho Hung - 主角光環,552,19,,"4,225",+502,"30,455",+85,"4,762,563"
172,-2,Mayday - 我不願讓你一個人,106,63,,"4,215",+376,"12,065","+4,215","221,191"
173,-29,Anson Lo 盧瀚霆 - King Kong,314,3,(x6),"4,214",-110,"31,563",-819,"7,218,026"
174,+4,Eason Chan - 單車,915,70,,"4,213",+448,"28,630",-37,"3,416,318"
175,RE,XG - LEFT RIGHT,52,120,,"4,205",,"25,934",+196,"245,798"
176,=,"Eric Chou - 你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",1991,26,,"4,204",+435,"31,706",-187,"8,616,620"
177,+7,Dear Jane - 哪裡只得我共你,2567,6,,"4,174",+456,"30,531",+137,"11,742,744"
178,+3,Terence Lam - 時光倒流一句話,883,2,(x70),"4,169",+424,"29,131",+267,"9,311,133"
179,+18,Wilfred Lau - 記得,21,93,,"4,164",+586,"20,286","+4,164","83,783"
180,-8,Terence Lam - 神奇的糊塗魔藥,751,1,(x3),"4,156",+345,"29,298",+257,"7,320,567"
181,-19,imase - NIGHT DANCER,30,149,,"4,153",+119,"29,259",+303,"128,814"
182,RE,Eason Chan - 歲月如歌,1546,38,,"4,150",,"12,312",+355,"6,153,431"
183,-18,Taylor Swift - Blank Space,175,73,,"4,135",+165,"29,229",+351,"514,725"
184,RE,Ren Ran - 飞鸟和蝉,940,16,,"4,095",,"21,346",+56,"5,040,428"
185,-44,Imagine Dragons - Bones,229,94,,"4,064",-292,"30,681",+185,"968,323"
186,-13,Ed Sheeran - Perfect,2150,4,,"4,042",+238,"28,784",+37,"10,006,246"
187,-1,Mayday - 玫瑰少年,2,186,,"4,020",+356,"7,684","+4,020","7,684"
188,+1,TAEYANG - VIBE (w/ Jimin),92,17,,"4,013",+401,"24,125",+469,"673,820"
189,RE,吳林峰 - 我也難過的,36,107,,"4,008",,"16,378","+4,008","171,397"
190,RE,SZA - Snooze,45,147,,"4,002",,"12,081","+4,002","186,912"
191,RE,Taylor Swift - Lavender Haze,110,9,,"3,998",,"20,720",+135,"760,928"
192,-7,JJ Lin - 那些你很冒險的夢,1240,11,,"3,994",+321,"29,105",-444,"4,065,328"
193,-18,Anson Lo 盧瀚霆 - 不可愛教主,648,1,(x10),"3,981",+191,"28,943",-262,"8,969,291"
194,RE,Sammi Cheng - 愛是… 2.0 (w/ 好青年荼毒室),35,51,,"3,980",,"3,980","+3,980","213,213"
195,RE,Mirror - Rumours,32,13,,"3,959",,"25,788",-356,"257,223"
196,-29,Ed Sheeran - Shivers,567,10,,"3,956",+20,"28,822",+219,"4,504,615"
197,RE,Joyce Cheng - 先哭為敬,706,10,,"3,926",,"16,528",+274,"5,175,543"
198,NEW,NCT DOJAEJUNG - Perfume,1,198,,"3,919",,"3,919","+3,919","3,919"
199,RE,Jay Chou - 告白氣球,2107,11,,"3,915",,"15,942",+320,"9,573,155"
200,=,Jay Chou - 一路向北,175,90,,"3,910",+341,"19,423","+3,910","556,923"
